Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
131	230	0	1.91328842	101324.997	101324.997	101324.997	101324.998	0.000737219714	0.0139668823	100	22.4339	0	0	3
132	232	0	1.92789368	101324.998	101324.997	101324.997	101324.998	0.000720189229	0.0139668823	100	22.6116	0	0	3
133	234	0	1.94249893	101324.997	101324.997	101324.997	101324.998	0.000694658214	0.0139668823	100	22.1126	0	0	3
134	235	0	1.95710419	101324.998	101324.997	101324.997	101324.998	0.000657551456	0.0139668823	100	22.4829	0	0	3
135	237	0	1.97170944	101324.997	101324.997	101324.997	101324.998	0.000627429428	0.0139668823	100	22.589	0	0	3
136	238	0	1.9863147	101324.997	101324.997	101324.997	101324.998	0.000641617517	0.0139668823	100	22.4893	0	0	3
137	240	0	2.00091995	101324.997	101324.997	101324.997	101324.998	0.000678971832	0.0139668823	100	22.5975	0	0	3
138	242	0	2.01552521	101324.998	101324.997	101324.997	101324.998	0.000672935072	0.0139668823	100	22.1935	0	0	3
139	243	0	2.03013046	101324.997	101324.997	101324.997	101324.998	0.000665886109	0.0139668823	100	22.1165	0	0	3
140	245	0	2.04473572	101324.997	101324.997	101324.997	101324.998	0.000635036849	0.0139668823	100	22.5845	0	0	3
141	247	0	2.05934097	101324.997	101324.997	101324.997	101324.998	0.000589326344	0.0139668823	100	22.5205	0	0	3
142	248	0	2.07394623	101324.996	101324.997	101324.996	101324.998	0.000601050691	0.0139668823	100	22.8288	0	0	3
143	250	0	2.08855148	101324.996	101324.997	101324.996	101324.998	0.000632321578	0.0139668823	100	22.3664	0	0	3
144	252	0	2.10315674	101324.998	101324.997	101324.996	101324.998	0.000619812679	0.0139668823	100	22.5435	0	0	3
145	253	0	2.11776199	101324.997	101324.997	101324.996	101324.998	0.00060315436	0.0139668823	100	22.1957	0	0	3
146	255	0	2.13236725	101324.997	101324.997	101324.996	101324.998	0.00057596025	0.0139668823	100	22.7001	0	0	3
147	257	0	2.14697251	101324.996	101324.997	101324.996	101324.998	0.000551473146	0.0139668823	100	22.3956	0	0	3
148	258	0	2.16157776	101324.996	101324.997	101324.996	101324.998	0.000566365401	0.0139668823	100	22.7037	0	0	3
149	260	0	2.17618302	101324.996	101324.997	101324.996	101324.998	0.00060945547	0.0139668823	100	22.1827	0	0	3
150	261	0	2.19078827	101324.998	101324.997	101324.996	101324.998	0.00060945547	0.0139668823	100	22.3301	0	0	3
151	263	0	2.20539353	101324.997	101324.997	101324.996	101324.998	0.000587098431	0.0139668823	100	22.0012	0	0	3
152	265	0	2.21999878	101324.997	101324.997	101324.996	101324.998	0.000553996957	0.0139668823	100	22.6061	0	0	3
153	266	0	2.23460404	101324.996	101324.997	101324.996	101324.998	0.000527673474	0.0139668823	100	22.3944	0	0	3
154	268	0	2.24920929	101324.996	101324.997	101324.996	101324.998	0.000544007125	0.0139668823	100	22.564	0	0	3
155	270	0	2.26381455	101324.996	101324.997	101324.996	101324.998	0.000581472166	0.0139668823	100	22.2214	0	0	3
156	271	0	2.2784198	101324.998	101324.997	101324.996	101324.998	0.000573264013	0.0139668823	100	22.4816	0	0	3
157	273	0	2.29302506	101324.997	101324.997	101324.996	101324.998	0.000547767529	0.0139668823	100	22.0717	0	0	3
158	275	0	2.30763031	101324.997	101324.997	101324.996	101324.998	0.000517606764	0.0139668823	100	22.7039	0	0	3
159	276	0	2.32223557	101324.996	101324.997	101324.996	101324.998	0.000489460959	0.0139668823	100	22.3902	0	0	3
160	278	0	2.33684082	101324.996	101324.997	101324.996	101324.998	0.000487892408	0.0139668823	100	22.6965	0	0	3
161	280	0	2.35144608	101324.996	101324.997	101324.996	101324.998	0.000518234796	0.0139668823	100	22.3152	0	0	3
162	281	0	2.36605133	101324.998	101324.997	101324.996	101324.998	0.000518234796	0.0139668823	100	22.4662	0	0	3
163	283	0	2.38065659	101324.997	101324.997	101324.996	101324.998	0.000499719608	0.0139668823	100	22.1484	0	0	3
164	285	0	2.39526184	101324.997	101324.997	101324.996	101324.998	0.000482147298	0.0139668823	100	22.6886	0	0	3
165	286	0	2.4098671	101324.996	101324.997	101324.996	101324.998	0.000433541718	0.0139668823	100	22.396	0	0	3
166	288	0	2.42447235	101324.996	101324.997	101324.996	101324.998	0.000443279641	0.0139668823	100	22.6601	0	0	3
167	290	0	2.43907761	101324.996	101324.997	101324.996	101324.998	0.00048520189	0.0139668823	100	22.1998	0	0	3
