Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
166	288	0	2.42447235	293.203288	293.203811	293.203288	293.204182	0.000337336232	7.70552661e-005	22.8	0.0139927	0	0	3
167	290	0	2.43907761	293.20325	293.203785	293.20325	293.204171	0.00036395623	7.65667344e-005	21	0.0139522	0	0	3
168	292	0	2.45368286	293.203212	293.203757	293.203212	293.204159	0.000391364572	7.60997303e-005	19.4	0.0138188	0	0	3
169	293	0	2.46828812	293.203173	293.203729	293.203173	293.204146	0.000419545619	7.56537062e-005	18	0.0138549	0	0	3
170	295	0	2.48289337	293.203134	293.2037	293.203134	293.204132	0.000448461831	7.52280622e-005	16.7	0.0139114	0	0	3
171	297	0	2.49749863	293.203095	293.20367	293.203095	293.204116	0.000478088178	7.482232e-005	15.6	0.0138769	0	0	3
172	298	0	2.51210388	293.203055	293.20364	293.203055	293.204099	0.000508401967	7.44360215e-005	14.6	0.0138335	0	0	3
173	300	0	2.52670914	293.203015	293.203609	293.203015	293.204082	0.000539390961	7.40687163e-005	13.7	0.0137789	0	0	3
174	302	0	2.54131439	293.202975	293.203578	293.202975	293.204064	0.000571025732	7.37198863e-005	12.9	0.0136395	0	0	3
175	303	0	2.55591965	293.202934	293.203545	293.202934	293.204044	0.000603291785	7.33890742e-005	12.1	0.0136779	0	0	3
176	305	0	2.5705249	293.202894	293.203512	293.202894	293.204023	0.000636150685	7.30757497e-005	11.4	0.0137325	0	0	3
177	306	0	2.58513016	293.202853	293.203479	293.202853	293.204001	0.000669556689	7.27794754e-005	10.8	0.0136911	0	0	3
178	308	0	2.59973541	293.202813	293.203445	293.202813	293.203979	0.000702062916	7.24998458e-005	10.3	0.0136541	0	0	3
179	310	0	2.61434067	293.202772	293.203411	293.202772	293.203955	0.000733690278	7.2236477e-005	9.8	0.0136164	0	0	3
180	311	0	2.62894592	293.202731	293.203376	293.202731	293.203931	0.000764447574	7.19888704e-005	9.4	0.0134851	0	0	3
181	313	0	2.64355118	293.20269	293.20334	293.20269	293.203906	0.00079434731	7.17566345e-005	9	0.0135327	0	0	3
182	315	0	2.65815643	293.202649	293.203304	293.202649	293.20388	0.00082337518	7.1539299e-005	8.6	0.0135912	0	0	3
183	316	0	2.67276169	293.202609	293.203268	293.202609	293.203852	0.000851520834	7.13364769e-005	8.3	0.0135638	0	0	3
184	318	0	2.68736695	293.202568	293.203231	293.202568	293.203825	0.000878795731	7.11477831e-005	8	0.0135232	0	0	3
185	320	0	2.7019722	293.202527	293.203194	293.202527	293.203796	0.000905209165	7.09728835e-005	7.8	0.013482	0	0	3
186	321	0	2.71657746	293.202487	293.203157	293.202487	293.203767	0.000930773912	7.08113312e-005	7.6	0.0133504	0	0	3
187	323	0	2.73118271	293.202447	293.203119	293.202447	293.203737	0.000955501804	7.06627569e-005	7.3	0.0134295	0	0	3
188	325	0	2.74578797	293.202407	293.203081	293.202407	293.203706	0.000979379969	7.0526718e-005	7.2	0.0134729	0	0	3
189	326	0	2.76039322	293.202367	293.203043	293.202367	293.203675	0.00100238911	7.04028661e-005	7	0.0134684	0	0	3
190	328	0	2.77499848	293.202328	293.203004	293.202328	293.203642	0.00102453014	7.02908522e-005	6.8	0.0134533	0	0	3
191	330	0	2.78960373	293.202288	293.202966	293.202288	293.20361	0.00104580864	7.01903564e-005	6.7	0.013421	0	0	3
192	331	0	2.80420899	293.202249	293.202927	293.202249	293.203576	0.00106623221	7.01009769e-005	6.5	0.013298	0	0	3
193	333	0	2.81881424	293.202211	293.202888	293.202211	293.203542	0.00108580449	7.00222209e-005	6.4	0.0133662	0	0	3
194	335	0	2.8334195	293.202173	293.202849	293.202173	293.203508	0.00110450774	6.99534035e-005	6.3	0.0134478	0	0	3
195	336	0	2.84802475	293.202136	293.202809	293.202136	293.203472	0.00112232355	6.98938789e-005	6.2	0.0134369	0	0	3
196	338	0	2.86263001	293.202098	293.20277	293.202098	293.203436	0.00113925199	6.98430838e-005	6.1	0.0134152	0	0	3
197	340	0	2.87723526	293.202062	293.202731	293.202062	293.2034	0.00115528906	6.98003652e-005	6	0.0133893	0	0	3
198	342	0	2.89184052	293.202026	293.202692	293.202026	293.203363	0.00117043556	6.97650042e-005	5.9	0.0132602	0	0	3
199	343	0	2.90644577	293.20199	293.202652	293.20199	293.203326	0.00118469973	6.97363845e-005	5.8	0.0133247	0	0	3
